"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","07.01.2022 21:00 - 07.01.2022 22:00 (CET/CEST)","121","20"
"BZN|ES","07.01.2022 22:00 - 07.01.2022 23:00 (CET/CEST)","121","7"
"BZN|ES","07.01.2022 23:00 - 08.01.2022 00:00 (CET/CEST)","121","6"
"BZN|ES","09.01.2022 00:00 - 09.01.2022 01:00 (CET/CEST)","4","20"
"BZN|ES","09.01.2022 01:00 - 09.01.2022 02:00 (CET/CEST)","4","20"
"BZN|ES","09.01.2022 02:00 - 09.01.2022 03:00 (CET/CEST)","4","20"
"BZN|ES","09.01.2022 03:00 - 09.01.2022 04:00 (CET/CEST)","4","19"
"BZN|ES","09.01.2022 04:00 - 09.01.2022 05:00 (CET/CEST)","3","9"
"BZN|ES","09.01.2022 05:00 - 09.01.2022 06:00 (CET/CEST)","6","4"
"BZN|ES","09.01.2022 06:00 - 09.01.2022 07:00 (CET/CEST)","17","4"
"BZN|ES","09.01.2022 07:00 - 09.01.2022 08:00 (CET/CEST)","21","3"
"BZN|ES","09.01.2022 08:00 - 09.01.2022 09:00 (CET/CEST)","76","47"
"BZN|ES","09.01.2022 09:00 - 09.01.2022 10:00 (CET/CEST)","1483","1029"
"BZN|ES","09.01.2022 10:00 - 09.01.2022 11:00 (CET/CEST)","3877","2937"
"BZN|ES","09.01.2022 11:00 - 09.01.2022 12:00 (CET/CEST)","5480","4475"
"BZN|ES","09.01.2022 12:00 - 09.01.2022 13:00 (CET/CEST)","6269","5543"
"BZN|ES","09.01.2022 13:00 - 09.01.2022 14:00 (CET/CEST)","6272","6120"
"BZN|ES","09.01.2022 14:00 - 09.01.2022 15:00 (CET/CEST)","6340","6280"
"BZN|ES","09.01.2022 15:00 - 09.01.2022 16:00 (CET/CEST)","5962","6092"
"BZN|ES","09.01.2022 16:00 - 09.01.2022 17:00 (CET/CEST)","4717","4979"
"BZN|ES","09.01.2022 17:00 - 09.01.2022 18:00 (CET/CEST)","1811","1914"
"BZN|ES","09.01.2022 18:00 - 09.01.2022 19:00 (CET/CEST)","195","157"
"BZN|ES","09.01.2022 19:00 - 09.01.2022 20:00 (CET/CEST)","22","11"
"BZN|ES","09.01.2022 20:00 - 09.01.2022 21:00 (CET/CEST)","19","3"
"BZN|ES","09.01.2022 21:00 - 09.01.2022 22:00 (CET/CEST)","19","5"
"BZN|ES","09.01.2022 22:00 - 09.01.2022 23:00 (CET/CEST)","19","6"
"BZN|ES","09.01.2022 23:00 - 10.01.2022 00:00 (CET/CEST)","19","4"
"BZN|ES","11.01.2022 00:00 - 11.01.2022 01:00 (CET/CEST)","4","29"
"BZN|ES","11.01.2022 01:00 - 11.01.2022 02:00 (CET/CEST)","4","29"
"BZN|ES","11.01.2022 02:00 - 11.01.2022 03:00 (CET/CEST)","4","29"
"BZN|ES","11.01.2022 03:00 - 11.01.2022 04:00 (CET/CEST)","4","25"
"BZN|ES","11.01.2022 04:00 - 11.01.2022 05:00 (CET/CEST)","4","13"
"BZN|ES","11.01.2022 05:00 - 11.01.2022 06:00 (CET/CEST)","4","12"
"BZN|ES","11.01.2022 06:00 - 11.01.2022 07:00 (CET/CEST)","6","13"
"BZN|ES","11.01.2022 07:00 - 11.01.2022 08:00 (CET/CEST)","9","13"
"BZN|ES","11.01.2022 08:00 - 11.01.2022 09:00 (CET/CEST)","64","90"
"BZN|ES","11.01.2022 09:00 - 11.01.2022 10:00 (CET/CEST)","1709","2207"
"BZN|ES","11.01.2022 10:00 - 11.01.2022 11:00 (CET/CEST)","4733","5985"
"BZN|ES","11.01.2022 11:00 - 11.01.2022 12:00 (CET/CEST)","6138","7855"
"BZN|ES","11.01.2022 12:00 - 11.01.2022 13:00 (CET/CEST)","6738","8423"
"BZN|ES","11.01.2022 13:00 - 11.01.2022 14:00 (CET/CEST)","6776","8428"
"BZN|ES","11.01.2022 14:00 - 11.01.2022 15:00 (CET/CEST)","6863","8422"
"BZN|ES","11.01.2022 15:00 - 11.01.2022 16:00 (CET/CEST)","6749","8281"
"BZN|ES","11.01.2022 16:00 - 11.01.2022 17:00 (CET/CEST)","5490","6508"
"BZN|ES","11.01.2022 17:00 - 11.01.2022 18:00 (CET/CEST)","2314","2549"
"BZN|ES","11.01.2022 18:00 - 11.01.2022 19:00 (CET/CEST)","248","348"
"BZN|ES","11.01.2022 19:00 - 11.01.2022 20:00 (CET/CEST)","53","132"
"BZN|ES","11.01.2022 20:00 - 11.01.2022 21:00 (CET/CEST)","35","67"
"BZN|ES","11.01.2022 21:00 - 11.01.2022 22:00 (CET/CEST)","29","54"
"BZN|ES","11.01.2022 22:00 - 11.01.2022 23:00 (CET/CEST)","29","41"
"BZN|ES","11.01.2022 23:00 - 12.01.2022 00:00 (CET/CEST)","29","40"
"BZN|ES","13.01.2022 00:00 - 13.01.2022 01:00 (CET/CEST)","40","15"
"BZN|ES","13.01.2022 01:00 - 13.01.2022 02:00 (CET/CEST)","40","15"
"BZN|ES","13.01.2022 02:00 - 13.01.2022 03:00 (CET/CEST)","40","16"
"BZN|ES","13.01.2022 03:00 - 13.01.2022 04:00 (CET/CEST)","40","15"
"BZN|ES","13.01.2022 04:00 - 13.01.2022 05:00 (CET/CEST)","40","21"
"BZN|ES","13.01.2022 05:00 - 13.01.2022 06:00 (CET/CEST)","40","30"
"BZN|ES","13.01.2022 06:00 - 13.01.2022 07:00 (CET/CEST)","40","30"
"BZN|ES","13.01.2022 07:00 - 13.01.2022 08:00 (CET/CEST)","40","30"
"BZN|ES","13.01.2022 08:00 - 13.01.2022 09:00 (CET/CEST)","112","90"
"BZN|ES","13.01.2022 09:00 - 13.01.2022 10:00 (CET/CEST)","2133","1960"
"BZN|ES","13.01.2022 10:00 - 13.01.2022 11:00 (CET/CEST)","5804","5485"
"BZN|ES","13.01.2022 11:00 - 13.01.2022 12:00 (CET/CEST)","7734","7318"
"BZN|ES","13.01.2022 12:00 - 13.01.2022 13:00 (CET/CEST)","8249","8181"
"BZN|ES","13.01.2022 13:00 - 13.01.2022 14:00 (CET/CEST)","8206","8401"
"BZN|ES","13.01.2022 14:00 - 13.01.2022 15:00 (CET/CEST)","8078","8111"
"BZN|ES","13.01.2022 15:00 - 13.01.2022 16:00 (CET/CEST)","7718","7674"
"BZN|ES","13.01.2022 16:00 - 13.01.2022 17:00 (CET/CEST)","6129","5984"
"BZN|ES","13.01.2022 17:00 - 13.01.2022 18:00 (CET/CEST)","2358","2218"
"BZN|ES","13.01.2022 18:00 - 13.01.2022 19:00 (CET/CEST)","246","267"
"BZN|ES","13.01.2022 19:00 - 13.01.2022 20:00 (CET/CEST)","68","83"
"BZN|ES","13.01.2022 20:00 - 13.01.2022 21:00 (CET/CEST)","64","46"
"BZN|ES","13.01.2022 21:00 - 13.01.2022 22:00 (CET/CEST)","29","25"
"BZN|ES","13.01.2022 22:00 - 13.01.2022 23:00 (CET/CEST)","15","24"
"BZN|ES","13.01.2022 23:00 - 14.01.2022 00:00 (CET/CEST)","15","24"
"BZN|ES","15.01.2022 00:00 - 15.01.2022 01:00 (CET/CEST)","24","17"
"BZN|ES","15.01.2022 01:00 - 15.01.2022 02:00 (CET/CEST)","24","12"
"BZN|ES","15.01.2022 02:00 - 15.01.2022 03:00 (CET/CEST)","24","12"
"BZN|ES","15.01.2022 03:00 - 15.01.2022 04:00 (CET/CEST)","23","12"
"BZN|ES","15.01.2022 04:00 - 15.01.2022 05:00 (CET/CEST)","23","12"
"BZN|ES","15.01.2022 05:00 - 15.01.2022 06:00 (CET/CEST)","22","12"
"BZN|ES","15.01.2022 06:00 - 15.01.2022 07:00 (CET/CEST)","22","12"
"BZN|ES","15.01.2022 07:00 - 15.01.2022 08:00 (CET/CEST)","22","12"
"BZN|ES","15.01.2022 08:00 - 15.01.2022 09:00 (CET/CEST)","109","117"
"BZN|ES","15.01.2022 09:00 - 15.01.2022 10:00 (CET/CEST)","2139","2442"
"BZN|ES","15.01.2022 10:00 - 15.01.2022 11:00 (CET/CEST)","5677","6280"
"BZN|ES","15.01.2022 11:00 - 15.01.2022 12:00 (CET/CEST)","7401","7903"
"BZN|ES","15.01.2022 12:00 - 15.01.2022 13:00 (CET/CEST)","7847","8591"
"BZN|ES","15.01.2022 13:00 - 15.01.2022 14:00 (CET/CEST)","8083","8669"
"BZN|ES","15.01.2022 14:00 - 15.01.2022 15:00 (CET/CEST)","8015","8560"
"BZN|ES","15.01.2022 15:00 - 15.01.2022 16:00 (CET/CEST)","7615","8197"
"BZN|ES","15.01.2022 16:00 - 15.01.2022 17:00 (CET/CEST)","6064","6505"
"BZN|ES","15.01.2022 17:00 - 15.01.2022 18:00 (CET/CEST)","2327","2543"
"BZN|ES","15.01.2022 18:00 - 15.01.2022 19:00 (CET/CEST)","262","257"
"BZN|ES","15.01.2022 19:00 - 15.01.2022 20:00 (CET/CEST)","88","56"
"BZN|ES","15.01.2022 20:00 - 15.01.2022 21:00 (CET/CEST)","48","51"
"BZN|ES","15.01.2022 21:00 - 15.01.2022 22:00 (CET/CEST)","28","38"
"BZN|ES","15.01.2022 22:00 - 15.01.2022 23:00 (CET/CEST)","28","23"
"BZN|ES","15.01.2022 23:00 - 16.01.2022 00:00 (CET/CEST)","28","22"
"BZN|ES","17.01.2022 00:00 - 17.01.2022 01:00 (CET/CEST)","23","29"
"BZN|ES","17.01.2022 01:00 - 17.01.2022 02:00 (CET/CEST)","23","20"
"BZN|ES","17.01.2022 02:00 - 17.01.2022 03:00 (CET/CEST)","23","14"
"BZN|ES","17.01.2022 03:00 - 17.01.2022 04:00 (CET/CEST)","23","14"
"BZN|ES","17.01.2022 04:00 - 17.01.2022 05:00 (CET/CEST)","23","14"
"BZN|ES","17.01.2022 05:00 - 17.01.2022 06:00 (CET/CEST)","23","14"
"BZN|ES","17.01.2022 06:00 - 17.01.2022 07:00 (CET/CEST)","23","14"
"BZN|ES","17.01.2022 07:00 - 17.01.2022 08:00 (CET/CEST)","22","15"
"BZN|ES","17.01.2022 08:00 - 17.01.2022 09:00 (CET/CEST)","123","132"
"BZN|ES","17.01.2022 09:00 - 17.01.2022 10:00 (CET/CEST)","2345","2674"
"BZN|ES","17.01.2022 10:00 - 17.01.2022 11:00 (CET/CEST)","5998","6641"
"BZN|ES","17.01.2022 11:00 - 17.01.2022 12:00 (CET/CEST)","7791","8467"
"BZN|ES","17.01.2022 12:00 - 17.01.2022 13:00 (CET/CEST)","8542","9106"
"BZN|ES","17.01.2022 13:00 - 17.01.2022 14:00 (CET/CEST)","9148","9183"
"BZN|ES","17.01.2022 14:00 - 17.01.2022 15:00 (CET/CEST)","9226","9171"
"BZN|ES","17.01.2022 15:00 - 17.01.2022 16:00 (CET/CEST)","9086","8958"
"BZN|ES","17.01.2022 16:00 - 17.01.2022 17:00 (CET/CEST)","7461","7419"
"BZN|ES","17.01.2022 17:00 - 17.01.2022 18:00 (CET/CEST)","3192","3196"
"BZN|ES","17.01.2022 18:00 - 17.01.2022 19:00 (CET/CEST)","449","422"
"BZN|ES","17.01.2022 19:00 - 17.01.2022 20:00 (CET/CEST)","66","87"
"BZN|ES","17.01.2022 20:00 - 17.01.2022 21:00 (CET/CEST)","35","63"
"BZN|ES","17.01.2022 21:00 - 17.01.2022 22:00 (CET/CEST)","30","29"
"BZN|ES","17.01.2022 22:00 - 17.01.2022 23:00 (CET/CEST)","30","25"
"BZN|ES","17.01.2022 23:00 - 18.01.2022 00:00 (CET/CEST)","30","25"
"BZN|ES","19.01.2022 00:00 - 19.01.2022 01:00 (CET/CEST)","25","52"
"BZN|ES","19.01.2022 01:00 - 19.01.2022 02:00 (CET/CEST)","25","35"
"BZN|ES","19.01.2022 02:00 - 19.01.2022 03:00 (CET/CEST)","25","28"
"BZN|ES","19.01.2022 03:00 - 19.01.2022 04:00 (CET/CEST)","25","15"
"BZN|ES","19.01.2022 04:00 - 19.01.2022 05:00 (CET/CEST)","25","15"
"BZN|ES","19.01.2022 05:00 - 19.01.2022 06:00 (CET/CEST)","25","15"
"BZN|ES","19.01.2022 06:00 - 19.01.2022 07:00 (CET/CEST)","25","19"
"BZN|ES","19.01.2022 07:00 - 19.01.2022 08:00 (CET/CEST)","26","35"
"BZN|ES","19.01.2022 08:00 - 19.01.2022 09:00 (CET/CEST)","124","133"
"BZN|ES","19.01.2022 09:00 - 19.01.2022 10:00 (CET/CEST)","2410","2420"
"BZN|ES","19.01.2022 10:00 - 19.01.2022 11:00 (CET/CEST)","6177","6348"
"BZN|ES","19.01.2022 11:00 - 19.01.2022 12:00 (CET/CEST)","8008","8241"
"BZN|ES","19.01.2022 12:00 - 19.01.2022 13:00 (CET/CEST)","8764","8986"
"BZN|ES","19.01.2022 13:00 - 19.01.2022 14:00 (CET/CEST)","9078","9046"
"BZN|ES","19.01.2022 14:00 - 19.01.2022 15:00 (CET/CEST)","9167","9094"
"BZN|ES","19.01.2022 15:00 - 19.01.2022 16:00 (CET/CEST)","9060","8782"
"BZN|ES","19.01.2022 16:00 - 19.01.2022 17:00 (CET/CEST)","7569","7383"
"BZN|ES","19.01.2022 17:00 - 19.01.2022 18:00 (CET/CEST)","3382","3457"
"BZN|ES","19.01.2022 18:00 - 19.01.2022 19:00 (CET/CEST)","464","537"
"BZN|ES","19.01.2022 19:00 - 19.01.2022 20:00 (CET/CEST)","74","84"
"BZN|ES","19.01.2022 20:00 - 19.01.2022 21:00 (CET/CEST)","53","55"
"BZN|ES","19.01.2022 21:00 - 19.01.2022 22:00 (CET/CEST)","53","28"
"BZN|ES","19.01.2022 22:00 - 19.01.2022 23:00 (CET/CEST)","53","24"
"BZN|ES","19.01.2022 23:00 - 20.01.2022 00:00 (CET/CEST)","52","24"
"BZN|ES","21.01.2022 00:00 - 21.01.2022 01:00 (CET/CEST)","23","13"
"BZN|ES","21.01.2022 01:00 - 21.01.2022 02:00 (CET/CEST)","24","14"
"BZN|ES","21.01.2022 02:00 - 21.01.2022 03:00 (CET/CEST)","24","13"
"BZN|ES","21.01.2022 03:00 - 21.01.2022 04:00 (CET/CEST)","23","13"
"BZN|ES","21.01.2022 04:00 - 21.01.2022 05:00 (CET/CEST)","23","14"
"BZN|ES","21.01.2022 05:00 - 21.01.2022 06:00 (CET/CEST)","23","14"
"BZN|ES","21.01.2022 06:00 - 21.01.2022 07:00 (CET/CEST)","23","13"
"BZN|ES","21.01.2022 07:00 - 21.01.2022 08:00 (CET/CEST)","23","13"
"BZN|ES","21.01.2022 08:00 - 21.01.2022 09:00 (CET/CEST)","178","105"
"BZN|ES","21.01.2022 09:00 - 21.01.2022 10:00 (CET/CEST)","2777","1929"
"BZN|ES","21.01.2022 10:00 - 21.01.2022 11:00 (CET/CEST)","6658","5068"
"BZN|ES","21.01.2022 11:00 - 21.01.2022 12:00 (CET/CEST)","8382","7826"
"BZN|ES","21.01.2022 12:00 - 21.01.2022 13:00 (CET/CEST)","8997","8084"
"BZN|ES","21.01.2022 13:00 - 21.01.2022 14:00 (CET/CEST)","8951","8010"
"BZN|ES","21.01.2022 14:00 - 21.01.2022 15:00 (CET/CEST)","8804","8010"
"BZN|ES","21.01.2022 15:00 - 21.01.2022 16:00 (CET/CEST)","8775","7975"
"BZN|ES","21.01.2022 16:00 - 21.01.2022 17:00 (CET/CEST)","7477","6835"
"BZN|ES","21.01.2022 17:00 - 21.01.2022 18:00 (CET/CEST)","3439","3241"
"BZN|ES","21.01.2022 18:00 - 21.01.2022 19:00 (CET/CEST)","491","487"
"BZN|ES","21.01.2022 19:00 - 21.01.2022 20:00 (CET/CEST)","76","92"
"BZN|ES","21.01.2022 20:00 - 21.01.2022 21:00 (CET/CEST)","29","53"
"BZN|ES","21.01.2022 21:00 - 21.01.2022 22:00 (CET/CEST)","29","42"
"BZN|ES","21.01.2022 22:00 - 21.01.2022 23:00 (CET/CEST)","29","30"
"BZN|ES","21.01.2022 23:00 - 22.01.2022 00:00 (CET/CEST)","22","29"
"BZN|ES","23.01.2022 00:00 - 23.01.2022 01:00 (CET/CEST)","30","14"
"BZN|ES","23.01.2022 01:00 - 23.01.2022 02:00 (CET/CEST)","23","14"
"BZN|ES","23.01.2022 02:00 - 23.01.2022 03:00 (CET/CEST)","14","14"
"BZN|ES","23.01.2022 03:00 - 23.01.2022 04:00 (CET/CEST)","14","14"
"BZN|ES","23.01.2022 04:00 - 23.01.2022 05:00 (CET/CEST)","14","14"
"BZN|ES","23.01.2022 05:00 - 23.01.2022 06:00 (CET/CEST)","14","14"
"BZN|ES","23.01.2022 06:00 - 23.01.2022 07:00 (CET/CEST)","14","14"
"BZN|ES","23.01.2022 07:00 - 23.01.2022 08:00 (CET/CEST)","14","12"
"BZN|ES","23.01.2022 08:00 - 23.01.2022 09:00 (CET/CEST)","91","106"
"BZN|ES","23.01.2022 09:00 - 23.01.2022 10:00 (CET/CEST)","1768","1712"
"BZN|ES","23.01.2022 10:00 - 23.01.2022 11:00 (CET/CEST)","4578","4303"
"BZN|ES","23.01.2022 11:00 - 23.01.2022 12:00 (CET/CEST)","6262","5752"
"BZN|ES","23.01.2022 12:00 - 23.01.2022 13:00 (CET/CEST)","6893","6426"
"BZN|ES","23.01.2022 13:00 - 23.01.2022 14:00 (CET/CEST)","7010","6781"
"BZN|ES","23.01.2022 14:00 - 23.01.2022 15:00 (CET/CEST)","6985","6558"
"BZN|ES","23.01.2022 15:00 - 23.01.2022 16:00 (CET/CEST)","6447","6219"
"BZN|ES","23.01.2022 16:00 - 23.01.2022 17:00 (CET/CEST)","4966","4977"
"BZN|ES","23.01.2022 17:00 - 23.01.2022 18:00 (CET/CEST)","2020","2177"
"BZN|ES","23.01.2022 18:00 - 23.01.2022 19:00 (CET/CEST)","161","172"
"BZN|ES","23.01.2022 19:00 - 23.01.2022 20:00 (CET/CEST)","20","17"
"BZN|ES","23.01.2022 20:00 - 23.01.2022 21:00 (CET/CEST)","18","15"
"BZN|ES","23.01.2022 21:00 - 23.01.2022 22:00 (CET/CEST)","14","15"
"BZN|ES","23.01.2022 22:00 - 23.01.2022 23:00 (CET/CEST)","14","15"
"BZN|ES","23.01.2022 23:00 - 24.01.2022 00:00 (CET/CEST)","14","14"
"BZN|ES","25.01.2022 00:00 - 25.01.2022 01:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 01:00 - 25.01.2022 02:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 02:00 - 25.01.2022 03:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 03:00 - 25.01.2022 04:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 04:00 - 25.01.2022 05:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 05:00 - 25.01.2022 06:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 06:00 - 25.01.2022 07:00 (CET/CEST)","14","13"
"BZN|ES","25.01.2022 07:00 - 25.01.2022 08:00 (CET/CEST)","14","13"
