"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","01.01.2024 14:30 - 01.01.2024 14:45 (CET/CEST)","10292","6952"
"BZN|ES","01.01.2024 14:45 - 01.01.2024 15:00 (CET/CEST)","10484","7000"
"BZN|ES","01.01.2024 15:00 - 01.01.2024 15:15 (CET/CEST)","10588","7280"
"BZN|ES","01.01.2024 15:15 - 01.01.2024 15:30 (CET/CEST)","11036","7132"
"BZN|ES","01.01.2024 15:30 - 01.01.2024 15:45 (CET/CEST)","11144","6796"
"BZN|ES","01.01.2024 15:45 - 01.01.2024 16:00 (CET/CEST)","10780","6280"
"BZN|ES","01.01.2024 16:00 - 01.01.2024 16:15 (CET/CEST)","10056","6024"
"BZN|ES","01.01.2024 16:15 - 01.01.2024 16:30 (CET/CEST)","9048","5340"
"BZN|ES","01.01.2024 16:30 - 01.01.2024 16:45 (CET/CEST)","7932","4716"
"BZN|ES","01.01.2024 16:45 - 01.01.2024 17:00 (CET/CEST)","6996","3800"
"BZN|ES","01.01.2024 17:00 - 01.01.2024 17:15 (CET/CEST)","5684","3128"
"BZN|ES","01.01.2024 17:15 - 01.01.2024 17:30 (CET/CEST)","4060","2304"
"BZN|ES","01.01.2024 17:30 - 01.01.2024 17:45 (CET/CEST)","2720","1600"
"BZN|ES","01.01.2024 17:45 - 01.01.2024 18:00 (CET/CEST)","1612","1008"
"BZN|ES","01.01.2024 18:00 - 01.01.2024 18:15 (CET/CEST)","880","528"
"BZN|ES","01.01.2024 18:15 - 01.01.2024 18:30 (CET/CEST)","412","232"
"BZN|ES","01.01.2024 18:30 - 01.01.2024 18:45 (CET/CEST)","212","112"
"BZN|ES","01.01.2024 18:45 - 01.01.2024 19:00 (CET/CEST)","168","92"
"BZN|ES","01.01.2024 19:00 - 01.01.2024 19:15 (CET/CEST)","132","84"
"BZN|ES","01.01.2024 19:15 - 01.01.2024 19:30 (CET/CEST)","120","76"
"BZN|ES","01.01.2024 19:30 - 01.01.2024 19:45 (CET/CEST)","116","64"
"BZN|ES","01.01.2024 19:45 - 01.01.2024 20:00 (CET/CEST)","112","64"
"BZN|ES","01.01.2024 20:00 - 01.01.2024 20:15 (CET/CEST)","104","64"
"BZN|ES","01.01.2024 20:15 - 01.01.2024 20:30 (CET/CEST)","84","56"
"BZN|ES","01.01.2024 20:30 - 01.01.2024 20:45 (CET/CEST)","80","44"
"BZN|ES","01.01.2024 20:45 - 01.01.2024 21:00 (CET/CEST)","80","44"
"BZN|ES","01.01.2024 21:00 - 01.01.2024 21:15 (CET/CEST)","80","40"
"BZN|ES","01.01.2024 21:15 - 01.01.2024 21:30 (CET/CEST)","72","24"
"BZN|ES","01.01.2024 21:30 - 01.01.2024 21:45 (CET/CEST)","60","24"
"BZN|ES","01.01.2024 21:45 - 01.01.2024 22:00 (CET/CEST)","60","24"
"BZN|ES","01.01.2024 22:00 - 01.01.2024 22:15 (CET/CEST)","60","12"
"BZN|ES","01.01.2024 22:15 - 01.01.2024 22:30 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 22:30 - 01.01.2024 22:45 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 22:45 - 01.01.2024 23:00 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 23:00 - 01.01.2024 23:15 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 23:15 - 01.01.2024 23:30 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 23:30 - 01.01.2024 23:45 (CET/CEST)","60","8"
"BZN|ES","01.01.2024 23:45 - 02.01.2024 00:00 (CET/CEST)","56","8"
"BZN|ES","03.01.2024 00:00 - 03.01.2024 00:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 00:15 - 03.01.2024 00:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 00:30 - 03.01.2024 00:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 00:45 - 03.01.2024 01:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 01:00 - 03.01.2024 01:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 01:15 - 03.01.2024 01:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 01:30 - 03.01.2024 01:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 01:45 - 03.01.2024 02:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 02:00 - 03.01.2024 02:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 02:15 - 03.01.2024 02:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 02:30 - 03.01.2024 02:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 02:45 - 03.01.2024 03:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 03:00 - 03.01.2024 03:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 03:15 - 03.01.2024 03:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 03:30 - 03.01.2024 03:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 03:45 - 03.01.2024 04:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 04:00 - 03.01.2024 04:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 04:15 - 03.01.2024 04:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 04:30 - 03.01.2024 04:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 04:45 - 03.01.2024 05:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 05:00 - 03.01.2024 05:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 05:15 - 03.01.2024 05:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 05:30 - 03.01.2024 05:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 05:45 - 03.01.2024 06:00 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 06:00 - 03.01.2024 06:15 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 06:15 - 03.01.2024 06:30 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 06:30 - 03.01.2024 06:45 (CET/CEST)","8","4"
"BZN|ES","03.01.2024 06:45 - 03.01.2024 07:00 (CET/CEST)","4","4"
"BZN|ES","03.01.2024 07:00 - 03.01.2024 07:15 (CET/CEST)","4","4"
